"Fahrt","Trip"
"Zeitraum","Duration"
"Beginn","Start"
"Ende","End"
"Dauer (Std.)","Duration (hrs)"
"Start/Ziel","Start/Destination"
"Ziel","Destination"
"Kilometerstand","Odometer Reading"
"Foto Kilometerstand Start","Odometer Photo (Start)"
"Kilometerstand Start","Odometer Reading (Start)"
"Foto Kilometerstand Ende","Odometer Photo (End)"
"Kilometerstand Ende","Odometer Reading (End)"
"Strecke (km)","Distance (km)"
"Beschreibung","Description"
"Abrechnung","Billing"
"Artikel Fahrzeit","Time Item"
"Kilometer abrechnen","Bill Kilometers"
"Artikel Kilometer","Kilometer Item"
"Optional: welches Fahrzeug wurde genutzt","Optional: which vehicle was used"
"Optional: Fahrt einem Kundeneinsatz zuordnen - fuellt Kunde/Projekt/Auftrag automatisch","Optional: link the trip to a Site Visit - fills in customer/project/sales order automatically"
"Einfacher Text, keine GPS-Erfassung","Plain text, no GPS tracking"
"Foto vom Tacho - der Kilometerstand wird automatisch erkannt und kann danach jederzeit von Hand korrigiert werden","Photo of the odometer - the reading is recognized automatically and can always be corrected by hand afterwards"
"Muss vor dem Buchen gesetzt sein - beim Speichern als Entwurf (z. B. per Timer) noch nicht erforderlich","Must be set before submitting - not required yet when saving as a draft (e.g. via the timer)"
"Muss vor dem Buchen gesetzt sein","Must be set before submitting"
"Muss vor dem Buchen gesetzt sein - die Fahrzeit wird immer darueber abgerechnet","Must be set before submitting - the travel time is always billed through this order"
"Muss vor dem Buchen gesetzt sein - wird dann immer mit der Dauer (Std.) als Menge in den Auftrag uebernommen","Must be set before submitting - always added to the order with the duration (hrs) as quantity"
"Bitte vor dem Buchen eine Endzeit eintragen.","Please enter an end time before submitting."
"Bitte vor dem Buchen beide Kilometerstände eintragen.","Please enter both odometer readings before submitting."
"Bitte vor dem Buchen einen Auftrag wählen.","Please select a Sales Order before submitting."
"Bitte vor dem Buchen einen Artikel für die Fahrzeit wählen.","Please select a Time Item before submitting."
"Nimmt zusaetzlich die Strecke (km) als eigene Position in den Auftrag auf","Also adds the distance (km) as its own line item to the order"
"Das Ende muss nach dem Beginn liegen.","The end must be after the start."
"Der Kilometerstand am Ende darf nicht kleiner als am Anfang sein.","The odometer reading at the end cannot be lower than at the start."
"Strecke: {0} km, Dauer: {1} Std.","Distance: {0} km, duration: {1} hrs."
"Kilometerstand wird erkannt...","Recognizing odometer reading..."
"Kilometerstand erkannt: {0}","Odometer reading recognized: {0}"
"Konnte den Kilometerstand nicht erkennen, bitte manuell eintragen.","Could not recognize the odometer reading, please enter it manually."
"Timer starten","Start Timer"
"Timer stoppen","Stop Timer"
"Timer läuft: {0}","Timer running: {0}"
"Fahrtenbuch Einstellungen","Fahrtenbuch Settings"
"API-URL","API URL"
"Modell","Model"
"API-Schlüssel","API Key"
"Basis-URL einer OpenAI-kompatiblen API, ohne /chat/completions am Ende - z. B. http://<ip-des-servers>:11434/v1 fuer Ollama, oder https://api.openai.com/v1. Leer lassen, um die automatische Kilometerstand-Erkennung zu deaktivieren.","Base URL of an OpenAI-compatible API, without /chat/completions at the end - e.g. http://<server-ip>:11434/v1 for Ollama, or https://api.openai.com/v1. Leave empty to disable automatic odometer recognition."
"Name des zu verwendenden Vision-Modells, z. B. qwen3.5:9b - Button oben zeigt die bei der API tatsaechlich verfuegbaren Modelle an","Name of the vision model to use, e.g. qwen3.5:9b - the button above shows the models actually available at the API"
"Nur noetig, falls die API einen Schluessel verlangt (z. B. bei OpenAI selbst) - fuer die meisten lokal/selbst gehosteten Server leer lassen","Only needed if the API requires a key (e.g. for OpenAI itself) - leave empty for most local/self-hosted servers"
"Vorbelegung fuer das Feld \"Artikel Fahrzeit\" bei einer neuen Fahrt - bleibt dort weiterhin pro Fahrt aenderbar","Default for the ""Artikel Fahrzeit"" field on a new trip - stays changeable per trip there"
"Verfügbare Modelle abrufen","Fetch Available Models"
"Bitte zuerst eine API-URL eintragen und speichern.","Please enter and save an API URL first."
"Bitte zuerst eine API-URL eintragen.","Please enter an API URL first."
"Die API war nicht erreichbar.","The API was not reachable."
"Keine Modelle gefunden.","No models found."
"Modell wählen","Select Model"
"Modelle werden abgerufen...","Fetching models..."
"Übernehmen","Apply"
"Fahrten","Trips"
"Fahrt mit Timer starten","Start a Trip with Timer"
"Fahrt aus Projekt anlegen","Create Trip from Project"
"Timer automatisch starten","Start Timer Automatically"
"Beim Anlegen einer Fahrt über die Verknüpfung im Projekt sofort die Startzeit setzen und speichern (Timer läuft direkt)","When creating a trip via the Project connection, immediately set the start time and save (timer starts right away)"
"Kamera automatisch öffnen","Open Camera Automatically"
"Beim Anlegen einer Fahrt über die Verknüpfung im Projekt sofort die Kamera für das Start-Kilometerstand-Foto öffnen","When creating a trip via the Project connection, immediately open the camera for the start odometer photo"
"Foto konnte nicht hochgeladen werden.","Could not upload the photo."
